model,model_display,total_params_B,active_params_B,architecture,group,domain,trial,drci_cold,drci_scrambled,drci_mean,mean_true,mean_cold,mean_scrambled
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,21,0.3059937477111816,0.2373539169629415,0.27167383233706155,1.0,0.6940062522888184,0.7626460830370585
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,22,0.28279296755790706,0.22648743788401282,0.25464020272095994,1.0,0.7172070324420929,0.7735125621159872
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,23,0.3203716407219569,0.23375072081883752,0.2770611807703972,1.0,0.6796283592780431,0.7662492791811625
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,24,0.30463482340176895,0.24323596755663557,0.27393539547920226,1.0,0.695365176598231,0.7567640324433644
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,25,0.2892226974169413,0.22124932010968523,0.25523600876331326,1.0,0.7107773025830587,0.7787506798903148
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,26,0.28432714740435283,0.22252685825030005,0.25342700282732644,1.0,0.7156728525956472,0.7774731417497
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,27,0.29575593272844947,0.20936676065127058,0.25256134668986,1.0,0.7042440672715505,0.7906332393487294
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,28,0.28926870624224343,0.2498697737852732,0.2695692400137583,1.0,0.7107312937577566,0.7501302262147268
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,29,0.2757588744163513,0.21237916946411128,0.24406902194023128,1.0,0.7242411255836487,0.7876208305358887
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,30,0.3046451201041539,0.24136240879694626,0.2730037644505501,1.0,0.6953548798958461,0.7586375912030537
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,31,0.3176117539405823,0.21451866626739502,0.26606521010398865,1.0,0.6823882460594177,0.785481333732605
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,32,0.29209353427092233,0.25387816627820337,0.27298585027456285,1.0,0.7079064657290777,0.7461218337217966
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,33,0.29814446469148004,0.2187358796596527,0.25844017217556636,1.0,0.70185553530852,0.7812641203403473
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,34,0.3019321183363597,0.26343104243278503,0.28268158038457236,1.0,0.6980678816636403,0.736568957567215
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,35,0.31568443775177,0.25177599191665645,0.28373021483421323,1.0,0.68431556224823,0.7482240080833436
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,36,0.29029794732729597,0.22023177941640215,0.25526486337184906,1.0,0.709702052672704,0.7797682205835978
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,37,0.29678727289040885,0.23245392640431717,0.264620599647363,1.0,0.7032127271095912,0.7675460735956828
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,38,0.3188456465800603,0.24903527299563089,0.2839404597878456,1.0,0.6811543534199397,0.7509647270043691
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,39,0.30921302437782283,0.23343610266844428,0.27132456352313356,1.0,0.6907869756221772,0.7665638973315557
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,40,0.32878957390785213,0.27801229357719426,0.3034009337425232,1.0,0.6712104260921479,0.7219877064228057
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,41,0.3104326506455739,0.24123132427533467,0.2758319874604543,1.0,0.6895673493544261,0.7587686757246653
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,42,0.3208983262379964,0.24485001365343728,0.28287416994571685,1.0,0.6791016737620036,0.7551499863465627
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,43,0.33205492595831554,0.2214620351791382,0.2767584805687269,1.0,0.6679450740416845,0.7785379648208618
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,44,0.3223305463790893,0.24227788448333742,0.28230421543121337,1.0,0.6776694536209107,0.7577221155166626
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,45,0.29707295000553136,0.233477904399236,0.2652754272023837,1.0,0.7029270499944686,0.766522095600764
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,46,0.31274777154127753,0.28690635561943056,0.29982706358035405,1.0,0.6872522284587225,0.7130936443805694
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,47,0.2943183024724324,0.24332365194956462,0.2688209772109985,1.0,0.7056816975275676,0.7566763480504354
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,48,0.3104352096716563,0.2728579024473826,0.29164655605951945,1.0,0.6895647903283437,0.7271420975526174
deepseek_v3_1,DeepSeek V3.1,671,37,MoE,open,philosophy,49,0.31104722122351325,0.24659879803657536,0.2788230096300443,1.0,0.6889527787764868,0.7534012019634246
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,0,0.26031444370746615,0.19229792157808945,0.2263061826427778,1.0,0.7396855562925339,0.8077020784219106
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,1,0.2605655113855998,0.1713846266269684,0.2159750690062841,1.0,0.7394344886144002,0.8286153733730316
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,2,0.26714605987071993,0.168779977162679,0.21796301851669947,1.0,0.7328539401292801,0.831220022837321
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,3,0.2655004610617956,0.16220928231875098,0.21385487169027328,1.0,0.7344995389382044,0.837790717681249
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,4,0.2667518883943558,0.1452349781990051,0.20599343329668046,1.0,0.7332481116056442,0.8547650218009949
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,5,0.2685994386672974,0.1684194107850393,0.21850942472616836,1.0,0.7314005613327026,0.8315805892149607
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,6,0.2511936793724696,0.16106272737185157,0.2061282033721606,1.0,0.7488063206275304,0.8389372726281484
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,7,0.2702304025491079,0.17115909258524575,0.22069474756717683,1.0,0.7297695974508921,0.8288409074147542
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,8,0.2497468064228694,0.16141322851181028,0.20558001746733984,1.0,0.7502531935771306,0.8385867714881897
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,9,0.2799947331349055,0.14700703024864192,0.21350088169177373,1.0,0.7200052668650945,0.8529929697513581
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,10,0.26945987145106,0.1721387108167013,0.22079929113388064,1.0,0.73054012854894,0.8278612891832987
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,11,0.2738909969727198,0.17425885995229085,0.22407492846250532,1.0,0.7261090030272802,0.8257411400477092
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,12,0.2781164884567261,0.18808301687240603,0.23309975266456606,1.0,0.7218835115432739,0.811916983127594
llama_4_maverick,Llama 4 Maverick,400,17,MoE,open,philosophy,13,0.2751840899387995,0.1935219426949819,0.2343530163168907,1.0,0.7248159100612005,0.8064780573050181
