model,domain,task_type,trial_number,delta_rci,source_folder
qwen3_235b,medical,Type2_Closed,8,0.3232506554573774,open_medical_rerun
qwen3_235b,medical,Type2_Closed,9,0.33933253064751623,open_medical_rerun
qwen3_235b,medical,Type2_Closed,10,0.32182980800668404,open_medical_rerun
qwen3_235b,medical,Type2_Closed,11,0.33303496564428015,open_medical_rerun
qwen3_235b,medical,Type2_Closed,12,0.3216205050547918,open_medical_rerun
qwen3_235b,medical,Type2_Closed,13,0.3175639325442413,open_medical_rerun
qwen3_235b,medical,Type2_Closed,14,0.34472490871946015,open_medical_rerun
qwen3_235b,medical,Type2_Closed,15,0.3258122103909652,open_medical_rerun
qwen3_235b,medical,Type2_Closed,16,0.3457420623550812,open_medical_rerun
qwen3_235b,medical,Type2_Closed,17,0.3373706849912802,open_medical_rerun
qwen3_235b,medical,Type2_Closed,18,0.3169627917309602,open_medical_rerun
qwen3_235b,medical,Type2_Closed,19,0.3182535557697217,open_medical_rerun
qwen3_235b,medical,Type2_Closed,20,0.3345000733931859,open_medical_rerun
qwen3_235b,medical,Type2_Closed,21,0.3361676295598348,open_medical_rerun
qwen3_235b,medical,Type2_Closed,22,0.3290814355015754,open_medical_rerun
qwen3_235b,medical,Type2_Closed,23,0.33780382648110385,open_medical_rerun
qwen3_235b,medical,Type2_Closed,24,0.30677730341752374,open_medical_rerun
qwen3_235b,medical,Type2_Closed,25,0.32919017716000476,open_medical_rerun
qwen3_235b,medical,Type2_Closed,26,0.33795728857318563,open_medical_rerun
qwen3_235b,medical,Type2_Closed,27,0.31135894432663913,open_medical_rerun
qwen3_235b,medical,Type2_Closed,28,0.3251327186822891,open_medical_rerun
qwen3_235b,medical,Type2_Closed,29,0.31625006546576817,open_medical_rerun
qwen3_235b,medical,Type2_Closed,30,0.313745737572511,open_medical_rerun
qwen3_235b,medical,Type2_Closed,31,0.31675311674674356,open_medical_rerun
qwen3_235b,medical,Type2_Closed,32,0.332672726114591,open_medical_rerun
qwen3_235b,medical,Type2_Closed,33,0.3277479539935787,open_medical_rerun
qwen3_235b,medical,Type2_Closed,34,0.326099922011296,open_medical_rerun
qwen3_235b,medical,Type2_Closed,35,0.3213622003793717,open_medical_rerun
qwen3_235b,medical,Type2_Closed,36,0.3169626011668394,open_medical_rerun
qwen3_235b,medical,Type2_Closed,37,0.33659401535987854,open_medical_rerun
qwen3_235b,medical,Type2_Closed,38,0.31629418954253197,open_medical_rerun
qwen3_235b,medical,Type2_Closed,39,0.3157179700831573,open_medical_rerun
qwen3_235b,medical,Type2_Closed,40,0.34906032097836337,open_medical_rerun
qwen3_235b,medical,Type2_Closed,41,0.33128381570180254,open_medical_rerun
qwen3_235b,medical,Type2_Closed,42,0.3349204696714878,open_medical_rerun
qwen3_235b,medical,Type2_Closed,43,0.35728372223675253,open_medical_rerun
qwen3_235b,medical,Type2_Closed,44,0.3233916557083527,open_medical_rerun
qwen3_235b,medical,Type2_Closed,45,0.3257643324633439,open_medical_rerun
qwen3_235b,medical,Type2_Closed,46,0.32553000350793204,open_medical_rerun
qwen3_235b,medical,Type2_Closed,47,0.31876664335529015,open_medical_rerun
qwen3_235b,medical,Type2_Closed,48,0.3315853689486782,open_medical_rerun
qwen3_235b,medical,Type2_Closed,49,0.32954643196426336,open_medical_rerun
qwen3_235b,medical,Type2_Closed,50,0.3305937311301629,open_medical_rerun
claude_haiku,medical,Type2_Closed,1,0.32609069347381603,medical_results
claude_haiku,medical,Type2_Closed,2,0.34737790375947963,medical_results
claude_haiku,medical,Type2_Closed,3,0.3367785692214966,medical_results
claude_haiku,medical,Type2_Closed,4,0.3474771978954473,medical_results
claude_haiku,medical,Type2_Closed,5,0.3387441356976827,medical_results
claude_haiku,medical,Type2_Closed,6,0.34311574051777527,medical_results
claude_haiku,medical,Type2_Closed,7,0.33663848837216703,medical_results
claude_haiku,medical,Type2_Closed,8,0.36796949257453293,medical_results
claude_haiku,medical,Type2_Closed,9,0.3431071584423384,medical_results
claude_haiku,medical,Type2_Closed,10,0.3452753027280172,medical_results
claude_haiku,medical,Type2_Closed,11,0.3314062063892681,medical_results
